representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
FLNB_HUMAN;;Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2;2602;277990.058;47.23;83;4058077;3999809;4046521;4529773;4548813;4400085
D3UEM1_YEAS8;;Vma2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_2806g PE=3 SV=1;517;57713.415;47.2;19;1051009;988565;1060984;416314;408923;405419
CAZA2_HUMAN;;F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3;286;32928.608;47.2;8;262913;265083;298454;257697;264585;259141
C8ZEE2_YEAS8;;40S ribosomal protein S1 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=RPS1 PE=3 SV=1;255;28794.655;47.06;13;857105;808369;845517;459328;460071;449403
PHB_HUMAN;;Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1;272;29785.902;47.06;11;971037;1101120;1104740;862257;1016282;1101263
SRP14_HUMAN;;Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2;136;14560.817;47.06;5;782658;720094;732740;627628;734746;779079
YDGA_ECOLI;;Protein YdgA OS=Escherichia coli (strain K12) OX=83333 GN=ydgA PE=1 SV=1;502;54654.929;47.01;17;115478;110145;111990;602275;616652;608048
MARCS_HUMAN;;Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4;332;31535.865;46.99;9;552204;587698;552299;584439;531372;595732
SAR1B_HUMAN;;GTP-binding protein SAR1b OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1;198;22395.506;46.97;9;145835;147581;105790;142168;155276;138442
C8ZF34_YEAS8;;Ddr48p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_3609g PE=4 SV=1;474;50842.22;46.84;11;483214;521863;514422;233232;228235;211958
NP1L1_HUMAN;;Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;391;45345.934;46.8;13;1225700;1294554;1181914;1161559;1143804;1207588
C8Z4U5_YEAS8;;Rps11ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_1805g PE=3 SV=1;156;17737.718;46.79;8;865672;851668;897355;482960;483011;467116
GLNH_ECOLI;;Glutamine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=glnH PE=1 SV=1;248;27173.211;46.77;8;219248;217537;221098;666235;926430;731975
C8Z3I5_YEAS8;;Ade1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1A20_0925g PE=3 SV=1;306;34582.027;46.73;13;385174;481521;395983;142910;134546;135697
VATA_HUMAN;;V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2;617;68260.492;46.68;18;396950;380392;392492;411816;384994;382219
YCCJ_ECOLI;;Uncharacterized protein YccJ OS=Escherichia coli (strain K12) OX=83333 GN=yccJ PE=1 SV=1;75;8519.179;46.67;3;61187;74299;81886;315430;330918;291788
ODO1_ECOLI;;2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) OX=83333 GN=sucA PE=1 SV=1;933;104995.538;46.62;30;722680;754595;705211;2934249;2725164;2744070
SMD2_HUMAN;;Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1;118;13518.227;46.61;6;400621;515242;427616;549267;429631;428295
C8ZAX5_YEAS8;;Tpm2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1I12_0364g PE=4 SV=1;161;19081.318;46.58;7;267756;204281;254847;141845;159973;133551
RL15_HUMAN;;60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2;204;24131.084;46.57;11;888023;916044;919907;1072713;1043492;1052509
CLPB_ECOLI;;Chaperone protein ClpB OS=Escherichia coli (strain K12) OX=83333 GN=clpB PE=1 SV=1;857;95525.937;46.56;28;317023;330370;361151;1722002;1718261;1715025
RRF_ECOLI;;Ribosome-recycling factor OS=Escherichia coli (strain K12) OX=83333 GN=frr PE=1 SV=1;185;20625.864;46.49;8;209789;230272;215798;716054;817132;739800
XRCC6_HUMAN;;X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2;609;69799.054;46.47;22;2788802;2944366;2824695;2935521;2747680;2937363
NHP2_HUMAN;;H/ACA ribonucleoprotein complex subunit 2 OS=Homo sapiens OX=9606 GN=NHP2 PE=1 SV=1;153;17189.914;46.41;4;180059;193959;192627;185946;179050;171708
DEGP_ECOLI;;Periplasmic serine endoprotease DegP OS=Escherichia coli (strain K12) OX=83333 GN=degP PE=1 SV=1;474;49323.46;46.41;14;203745;191243;175288;1032147;895610;1036332
PDIA4_HUMAN;;Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2;645;72886.973;46.36;25;1023421;1149457;1146179;1151450;1126433;1149528
GNAI3_HUMAN;;Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3;354;40506.268;46.33;11;314215;292876;267686;323178;292025;287763
GPDA_ECOLI;;Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Escherichia coli (strain K12) OX=83333 GN=gpsA PE=3 SV=1;339;36338.656;46.31;8;78626;76365;84879;334995;373860;379303
RFA3_HUMAN;;Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1;121;13559.852;46.28;3;64909;63041;67514;60923;37954;59430
C8ZI24_YEAS8;;Rpl3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_2641g PE=3 SV=1;387;43730.373;46.25;18;1448196;1605466;1383958;804971;629483;716720
SSPA_ECOLI;;Stringent starvation protein A OS=Escherichia coli (strain K12) OX=83333 GN=sspA PE=1 SV=2;212;24289.415;46.23;5;57370;65849;72552;142428;134842;241524
RS12_HUMAN;;40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3;132;14505.482;46.21;5;604620;665807;650351;660587;639217;645953
RL23A_HUMAN;;60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1;156;17684.134;46.15;7;670565;740878;681282;707761;783404;554545
GLRX4_ECOLI;;Glutaredoxin 4 OS=Escherichia coli (strain K12) OX=83333 GN=grxD PE=1 SV=1;115;12870.476;46.09;4;263859;281356;274164;752685;732460;742370
RL10A_HUMAN;;60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2;217;24815.535;46.08;12;1185941;1133861;1103115;1044201;1118291;1049187
KPRS_ECOLI;;Ribose-phosphate pyrophosphokinase OS=Escherichia coli (strain K12) OX=83333 GN=prs PE=1 SV=2;315;34196.706;46.03;10;230240;230941;246321;1011661;1043515;841950
C8Z6V5_YEAS8;;Cyc7p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_0408g PE=3 SV=1;113;12524.307;46.02;6;295261;340895;338425;176399;194461;180649
MYH9_HUMAN;;Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4;1960;226391.591;46.02;86;8452362;8433912;8594371;8525559;8589451;8317446
C8Z3T2_YEAS8;;Prx1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_0529g PE=4 SV=1;261;29505.429;45.98;9;423435;399085;369362;138876;140910;142506
SYAC_HUMAN;;Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS PE=1 SV=2;968;106743.224;45.97;29;1086233;1146711;1134196;988309;1073967;943275
KCY_HUMAN;;UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3;196;22208.28;45.92;8;315191;338845;359196;253067;357347;257946
SYRC_HUMAN;;Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS PE=1 SV=2;660;75330.863;45.91;23;759848;891943;845331;787515;945336;919315
C8Z669_YEAS8;;Grx2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_8306g PE=4 SV=1;109;11957.234;45.87;3;111696;106412;97366;37153;35416;38812
SRC8_HUMAN;;Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2;550;61548.532;45.82;21;733985;799040;791224;729111;730462;741565
CDK1_HUMAN;;Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;297;34073.883;45.79;10;384520;316167;319047;379096;343416;298943
DHAS_ECOLI;;Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=asd PE=1 SV=1;367;39992.488;45.78;9;378722;401763;502898;1615791;1666660;1637925
RL11_ECOLI;;50S ribosomal protein L11 OS=Escherichia coli (strain K12) OX=83333 GN=rplK PE=1 SV=2;142;14865.885;45.77;8;495013;452384;492057;1602191;1368795;1380432
MAO2_ECOLI;;NADP-dependent malic enzyme OS=Escherichia coli (strain K12) OX=83333 GN=maeB PE=1 SV=1;759;82364.795;45.72;24;391631;386688;405337;1490997;1532423;1384640
ENPL_HUMAN;;Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1;803;92411.344;45.7;30;2944484;3212472;3073863;2813641;3069099;2989402
ROA1_HUMAN;;Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5;372;38723.05;45.7;14;2145145;2326140;2301533;2239023;2259323;2224855
PNPH_HUMAN;;Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2;289;32097.156;45.67;10;524169;492236;515369;462269;353309;461714
ACNB_ECOLI;;Aconitate hydratase B OS=Escherichia coli (strain K12) OX=83333 GN=acnB PE=1 SV=3;865;93438.958;45.66;30;807450;840834;799575;3358861;3363652;3335448
PGRC1_HUMAN;;Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3;195;21657.757;45.64;5;132843;158117;151097;141943;139926;133350
FUMA_ECOLI;;Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) OX=83333 GN=fumA PE=1 SV=2;548;60260.573;45.62;16;363376;319301;301717;1021300;1163320;984866
GLRX2_ECOLI;;Glutaredoxin 2 OS=Escherichia coli (strain K12) OX=83333 GN=grxB PE=1 SV=1;215;24334.708;45.58;8;144323;145626;150023;595241;642251;608332
IF3_ECOLI;;Translation initiation factor IF-3 OS=Escherichia coli (strain K12) OX=83333 GN=infC PE=1 SV=1;180;20551.053;45.56;6;96119;75589;78941;685044;673393;686501
ECHM_HUMAN;;Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4;290;31367.131;45.52;10;1039932;823414;810821;911785;937663;893034
ACTH_HUMAN;;Actin, gamma-enteric smooth muscle OS=Homo sapiens OX=9606 GN=ACTG2 PE=1 SV=1;376;41849.789;45.48;14;1186093;1400762;985017;1409666;1221766;1197385
PFD2_HUMAN;;Prefoldin subunit 2 OS=Homo sapiens OX=9606 GN=PFDN2 PE=1 SV=1;154;16637.609;45.45;6;311384;301448;320431;239176;236270;241667
EIF3K_HUMAN;;Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1;218;25043.44;45.41;7;195166;305376;313220;204514;204059;300520
PFLB_ECOLI;;Formate acetyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=pflB PE=1 SV=2;760;85302.736;45.39;23;334032;372810;315303;1582872;1542203;1582987
AHNK_HUMAN;;Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2;5890;628699.386;45.38;127;6503205;6338773;6289099;6508779;6645269;6545365
RAB2B_HUMAN;;Ras-related protein Rab-2B OS=Homo sapiens OX=9606 GN=RAB2B PE=1 SV=1;216;24199.146;45.37;9;9428;13854;13863;6205;0;14571
CG050_HUMAN;;Uncharacterized protein C7orf50 OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1;194;22069.817;45.36;6;146979;157380;213519;219190;206969;234157
NASP_HUMAN;;Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2;788;85186.072;45.3;27;1177105;1166028;1158814;1110291;1177744;1142821
ATPG_ECOLI;;ATP synthase gamma chain OS=Escherichia coli (strain K12) OX=83333 GN=atpG PE=1 SV=1;287;31557.29;45.3;10;95039;87118;82558;452164;498689;499579
LAP2A_HUMAN;;Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;694;75445.631;45.24;20;648632;721429;751489;520191;785185;556310
NUDT5_HUMAN;;ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;219;24312.237;45.21;7;372500;368951;375867;250571;359293;367216
MCM7_HUMAN;;DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4;719;81256.57;45.2;23;847093;965228;1020973;981862;961857;1004789
C8Z9A2_YEAS8;;Thioredoxin OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_5402g PE=3 SV=1;104;11196.601;45.19;4;123007;99837;106011;50852;44969;43810
RL32_HUMAN;;60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2;135;15849.804;45.19;6;926159;934492;960494;991270;1006707;928678
DDX3X_HUMAN;;ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;662;73197.999;45.17;25;1146716;1335945;1391338;1142684;1150676;1262029
SECB_ECOLI;;Protein-export protein SecB OS=Escherichia coli (strain K12) OX=83333 GN=secB PE=1 SV=1;155;17266.246;45.16;3;385016;389548;399609;984838;999271;987937
ALDB_ECOLI;;Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) OX=83333 GN=aldB PE=1 SV=2;512;56270.491;45.12;14;140496;99743;115799;517118;546689;517460
EPIPL_HUMAN;;Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3;5088;555315.927;45.11;54;1109004;1101719;1102704;1037197;1086486;1096327
RL7A_HUMAN;;60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2;266;29977.024;45.11;12;1072293;1117712;1120648;1086466;1105093;1055486
DKGA_ECOLI;;2,5-diketo-D-gluconic acid reductase A OS=Escherichia coli (strain K12) OX=83333 GN=dkgA PE=1 SV=3;275;31090.242;45.09;9;175459;190103;182002;688718;662355;713419
THIM_HUMAN;;3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2;397;41897.646;45.09;11;610065;641311;617761;513241;496148;627420
SNAA_HUMAN;;Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=3;295;33211.279;45.08;10;443413;436768;398588;368643;413683;378859
NUCL_HUMAN;;Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3;710;76568.359;45.07;35;4613063;4803656;4748086;4748833;4775941;4609454
PFKA_ECOLI;;ATP-dependent 6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) OX=83333 GN=pfkA PE=1 SV=1;320;34819.697;45.0;9;163860;161542;172708;745496;792791;840559
ARF5_HUMAN;;ADP-ribosylation factor 5 OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=2;180;20516.58;45.0;8;155492;167516;173664;165615;163025;154541
THIL_HUMAN;;Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;427;45170.643;44.96;15;449703;458074;448115;508099;493437;488081
LRC59_HUMAN;;Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1;307;34908.877;44.95;11;529715;481943;401747;420454;439060;449986
ALDR_HUMAN;;Aldose reductase OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3;316;35830.494;44.94;13;483154;637967;541709;623752;544446;573806
DYL2_HUMAN;;Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1;89;10343.065;44.94;3;33662;29083;29214;29014;32474;28728
PPAC_HUMAN;;Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3;158;18030.768;44.94;5;156145;165764;169909;155808;181665;159783
DYL1_HUMAN;;Dynein light chain 1, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL1 PE=1 SV=1;89;10359.108;44.94;3;295646;351087;316827;313426;335809;325308
DADA_ECOLI;;D-amino acid dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=dadA PE=1 SV=1;432;47577.059;44.91;11;258121;230386;239223;807948;1065284;875988
RL17_ECOLI;;50S ribosomal protein L17 OS=Escherichia coli (strain K12) OX=83333 GN=rplQ PE=1 SV=1;127;14355.658;44.88;6;229314;215335;221877;664834;608787;677733
PSA2_HUMAN;;Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;234;25882.27;44.87;8;233301;249339;234360;267674;255983;238080
H33_HUMAN;;Histone H3.3 OS=Homo sapiens OX=9606 GN=H3F3A PE=1 SV=2;136;15318.503;44.85;5;1152988;1242319;1272099;1144754;1151411;1212122
PSMD5_HUMAN;;26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3;504;56160.359;44.84;15;611591;705771;597148;544000;657609;518230
1433S_HUMAN;;14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1;248;27756.693;44.76;9;305395;350494;350308;279149;221704;228894
TRAP1_HUMAN;;Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3;704;80059.691;44.74;26;1365022;1294879;1337694;1307660;1509740;1478442
ANXA6_HUMAN;;Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3;673;75825.577;44.73;23;549872;651155;711574;712807;565573;662645
C8Z6B9_YEAS8;;Tfp1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_0232g PE=4 SV=1;1071;118534.176;44.72;41;1513916;1542429;1544934;571541;546136;633278
C1QBP_HUMAN;;Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=C1QBP PE=1 SV=1;282;31342.608;44.68;6;1546003;1581595;1519048;1418112;1417708;1399632
GGCT_HUMAN;;Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1;188;20994.333;44.68;7;165310;187113;171528;149413;178887;146338
C8Z7P4_YEAS8;;Ypt1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1F14_0408g PE=4 SV=1;206;23199.587;44.66;8;187009;168572;171722;82007;124599;80669
PUR2_HUMAN;;Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1;1010;107699.0;44.65;28;1001822;970718;1087934;1018606;1115847;1070799
CNBP_HUMAN;;Cellular nucleic acid-binding protein OS=Homo sapiens OX=9606 GN=CNBP PE=1 SV=1;177;19449.564;44.63;7;566736;544981;556504;671329;556895;562078
GLPK_ECOLI;;Glycerol kinase OS=Escherichia coli (strain K12) OX=83333 GN=glpK PE=1 SV=2;502;56195.262;44.62;17;194772;180690;196663;1002480;993096;1019700
C8Z6W1_YEAS8;;Eukaryotic translation initiation factor 5A OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_0474g PE=3 SV=1;157;17103.318;44.59;4;315413;298655;307341;151744;135290;139085
HS74L_HUMAN;;Heat shock 70 kDa protein 4L OS=Homo sapiens OX=9606 GN=HSPA4L PE=1 SV=3;839;94452.521;44.58;29;638519;670696;658295;619822;582695;595099
SYK2_ECOLI;;Lysine--tRNA ligase, heat inducible OS=Escherichia coli (strain K12) OX=83333 GN=lysU PE=1 SV=2;505;57790.153;44.55;18;166648;157233;158090;670086;655402;682750
S10A4_HUMAN;;Protein S100-A4 OS=Homo sapiens OX=9606 GN=S100A4 PE=1 SV=1;101;11720.732;44.55;5;974890;770912;814964;990720;806860;1030067
VDAC3_HUMAN;;Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1;283;30639.286;44.52;11;547793;545444;504601;534909;542066;513305
C8ZGG3_YEAS8;;Rpl9bp OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N9_3037g PE=4 SV=1;191;21643.647;44.5;8;234631;300962;248718;86102;122320;118231
RBMX_HUMAN;;RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3;391;42306.334;44.5;20;1558850;1147914;1531828;1503676;1502028;1487069
CBX5_HUMAN;;Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1;191;22211.054;44.5;8;393327;423472;295691;427189;284457;446295
C8Z8K6_YEAS8;;Pnc1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_2564g PE=4 SV=1;216;24977.565;44.44;6;349634;312150;287404;153897;108122;108771
C8ZGG1_YEAS8;;Rpl16bp OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N9_2993g PE=3 SV=1;198;22235.385;44.44;11;1038952;1087886;1020606;430592;515558;338434
ARF4_HUMAN;;ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3;180;20497.693;44.44;7;340362;384113;403063;351277;394061;353588
SND1_HUMAN;;Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1;910;101933.51;44.4;31;2018804;1992750;1873120;1577729;1832592;1621655
AHSA1_HUMAN;;Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;338;38250.249;44.38;10;341334;370587;325768;368309;352536;364462
SRSF1_HUMAN;;Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2;248;27727.815;44.35;10;815311;747448;893592;762421;785745;883435
KAD1_HUMAN;;Adenylate kinase isoenzyme 1 OS=Homo sapiens OX=9606 GN=AK1 PE=1 SV=3;194;21621.307;44.33;6;324620;262750;325284;278622;293512;289487
PRS8_HUMAN;;26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1;406;45597.053;44.33;14;464731;551643;554330;546744;533073;505734
DDX21_HUMAN;;Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5;783;87290.381;44.32;31;1894155;2072383;1957782;2007393;2052160;1790078
STMN1_HUMAN;;Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;149;17291.954;44.3;8;544542;545581;564668;594357;538810;611392
IPO5_HUMAN;;Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4;1097;123549.859;44.3;32;1671913;1865430;1868711;1852210;1831970;1808692
TXNL1_HUMAN;;Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3;289;32230.728;44.29;9;277193;304335;288582;284323;310891;308200
PTA_ECOLI;;Phosphate acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=pta PE=1 SV=2;714;77123.894;44.26;19;140800;173122;166688;1088583;1046802;1083496
C8Z5Y0_YEAS8;;Rpl12ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_7239g PE=3 SV=1;165;17811.65;44.24;6;382502;374584;375384;171285;150519;173542
C8ZAY1_YEAS8;;Rpl16ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1I12_0430g PE=3 SV=1;199;22228.452;44.22;11;492304;467199;473432;272354;191144;243196
SRP09_HUMAN;;Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2;86;10105.111;44.19;4;163242;256593;164504;159018;172295;165766
GLN1B_ECOLI;;Glutamine synthetase OS=Escherichia coli (strain K12) OX=83333 GN=glnA PE=1 SV=2;469;51870.728;44.14;12;139471;142069;150423;742793;754788;743704
IF2A_HUMAN;;Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3;315;36089.375;44.13;14;783855;778994;749414;903263;904391;912342
PARP1_HUMAN;;Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4;1014;113012.395;44.08;32;1766008;1903340;1640205;1791907;1660748;1836318
RUVB2_HUMAN;;RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3;463;51124.554;44.06;20;1047852;1037540;1040644;1074956;1098069;1080945
C8Z805_YEAS8;;Phosphotransferase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_0144g PE=3 SV=1;486;53894.371;44.03;14;573445;638866;555807;212785;249113;246704
RAB5C_HUMAN;;Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2;216;23467.786;43.98;6;393061;389017;389663;399829;402281;377594
SYEP_HUMAN;;Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS PE=1 SV=5;1512;170483.095;43.98;53;2147742;2243190;2264773;2117389;2160237;2137180
C8ZDU8_YEAS8;;60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_2058g PE=3 SV=1;312;33696.308;43.91;10;911502;865305;792287;393303;398424;440920
SRSF3_HUMAN;;Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1;164;19317.903;43.9;8;883402;869601;947587;818600;907492;892488
C8Z9H8_YEAS8;;Zuo1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_6260g PE=4 SV=1;433;48988.125;43.88;13;410479;415769;405370;159402;171433;160941
C8ZFR3_YEAS8;;EC1118_1N18_0793p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N18_0793g PE=4 SV=1;98;10774.706;43.88;3;253418;231550;233491;129744;135354;125696
